s_no	route_number	from_en	from_kn	to_en	to_kn	routings_en	routings_kn	metros	schedule_count	timings_from	timings_to
1	MF1C	KR Puram Metro Station	ಕೆ.ಆರ್. ಪುರಂ ಮೆಟ್ರೋ ನಿಲ್ದಾಣ	Central Silk Board	ಸೆಂಟ್ರಲ್ ಸಿಲ್ಕ್ ಬೋರ್ಡ್	Marathahalli Bridge, Agara	ಮಾರತ್ತಹಳ್ಳಿ ಸೇತುವೆ, ಅಗರ	25	22	0640, 0655, 0710, 0725, 0740, 0750, 0800, 0810, 0820, 0830, 0840, 0850, 0900, 0910, 0920, 0925, 0935, 0945, 0955, 1005, 1015, 1025, 1035, 1045, 1055, 1100, 1110, 1125, 1135, 1150, 1205, 1215, 1235, 1300, 1315, 1330,  1315, 1330, 1345, 1400, 1455, 1545, 1600, 1620, 1635, 1650, 1710, 1745, 1805, 1820, 1840, 1900, 1920, 1935, 1950, 2010, 2030, 2045, 2100, 2115, 2130, 2145, 2200 	0540, 0610, 0630, 0650, 0700, 0710, 0720, 0730, 0740, 0745, 0750, 0800, 0810, 0820, 0830, 0840, 0855, 0905, 0915, 0925, 0935, 0940, 0950, 0955, 1005, 1010, 1020, 1030, 1040, 1105, 1125, 1150, 1125, 1150, 1210, 1225, 1240, 1255, 1240, 1255, 1335, 1355, 1425, 1445, 1500, 1515, 1530, 1600, 1635, 1650, 1705, 1720, 1735, 1745, 1810, 1835, 1855, 1920, 1945, 2000, 2015, 2030, 2045, 2100
3	MF1F	S.V Metro Station	ಎಸ್‌.ವಿ. ಮೆಟ್ರೋ ನಿಲ್ದಾಣ	Rameshanagar	ರಮೇಶನಗರ	S.V Metro Station, BEML Gate, Malleshpalya, Basavanagar, Rameshanagara	ಎಸ್. ವಿ. ಮೆಟ್ರೋ ನಿಲ್ದಾಣ, ಬಿ.ಇ.ಎಂ.ಎಲ್ ಗೇಟ್, ಮಲ್ಲೇಶಪಾಳ್ಯ, ಬಸವನಗರ, ರಮೇಶ ನಗರ	54	3	0605, 0630,0700, 0735, 0810, 0840, 0950, 1025, 1055, 1215, 1245,1350, 1420, 1530, 1600, 1645, 1745, 1815, 1835, 1935, 2005, 2025	0645, 0720, 0750, 0830, 0905, 0935, 1045, 1120, 1150, 1300, 1330, 1440, 1510, 1530, 1650, 1720, 1740, 1840, 1910, 1930, 2030, 2100, 2125
4	MF1G	ITPL Metro Station	ಐ.ಟಿ.ಪಿ.ಎಲ್ ಮೆಟ್ರೋ ನಿಲ್ದಾಣ	ITPL Metro Station	ಐ.ಟಿ.ಪಿ.ಎಲ್ ಮೆಟ್ರೋ ನಿಲ್ದಾಣ	Hope Farm, Channasandra, Nagondanahalli, Whitefield	ಹೋಪ್ ಫಾರ್ಮ್, ಚನ್ನಸಂದ್ರ, ನಾಗೊಂಡನಹಳ್ಳಿ, ವೈಟ್ ಫೀಲ್ಡ್	42, 23, 16	1	0530, 0605, 0640, 0715, 0755, 0820, 0845, 0915, 0940, 1010, 1055, 1130, 1140, 1220, 1310, 1400, 1500, 1530, 1610, 1630, 1705, 1725, 1800, 1900, 1955, 2050, 2210	
5	MF1GA	ITPL Metro Station	ಐ.ಟಿ.ಪಿ.ಎಲ್ ಮೆಟ್ರೋ ನಿಲ್ದಾಣ	ITPL Metro Station	ಐ.ಟಿ.ಪಿ.ಎಲ್. ಮೆಟ್ರೋ ನಿಲ್ದಾಣ	Hope Farm, Whitefield, Nagondanahalli, Channasandra	ಹೋಪ್ ಫಾರ್ಮ್, ವೈಟ್ ಫೀಲ್ಡ್, ನಾಗೊಂಡನಹಳ್ಳಿ, ಚನ್ನಸಂದ್ರ 	42, 23, 16	1	0545, 0620, 0655, 0730, 0815, 0845, 0910, 0940, 1005, 1035, 1120, 1155, 1210, 1245, 1335, 1500, 1525, 1555, 1640, 1700, 1730, 1800, 1830, 1930, 2025, 2120, 2240	
6	MF1K	Kadugodi Metro Station	ಕಾಡುಗೋಡಿ ಮೆಟ್ರೋ ನಿಲ್ದಾಣ	Kannamangala	ಕನ್ನಮಂಗಲ	Seegehalli, Kannamangala Gate	ಸೀಗೇಹಳ್ಳಿ, ಕನ್ನಮಂಗಲ ಗೇಟ್	65	2	0625, 0715, 0805, 0820, 0835, 0855, 0910, 0925, 0945, 1025, 1040, 1100, 1115, 1130, 1145, 1230, 1305, 1320, 1355, 1410, 1505, 1520, 1535, 1555, 1610, 1625, 1645, 1700, 1715, 1735, 1750, 1805, 1825, 1915, 2030, 2145	0600, 0650, 0740, 0830, 0945, 0900, 0920, 0935, 0950, 1035, 1050, 1105, 1120, 1205, 1240, 1255, 1330, 1345, 1420, 1435, 1530, 1545, 1600, 1620, 1635, 1650, 1710, 1725, 1740, 1800, 1815, 1830, 1850, 2005, 2055
	MF2	Baiyappanahalli Metro Station (Back gate)	ಬೈಯಪ್ಪನಹಳ್ಳಿ ಮೆಟ್ರೋ ನಿಲ್ದಾಣ (ಹಿಂದಿನ ಗೇಟ್)	Ramamurthynagara bridge	ರಾಮಮೂರ್ತಿನಗರ ಸೇತುವೆ	Seegehalli, Kannamangala Gate	ಸೀಗೇಹಳ್ಳಿ, ಕನ್ನಮಂಗಲ ಗೇಟ್	2	1	0720,0800, 0840, 0920, 1025, 1705, 1745, 1845, 1930, 2010, 2050	0740, 0820, 0900, 0940, 1725, 1805, 1845, 1950, 2030
7	MF3	Kadugodi Metro Station	ಕಾಡುಗೋಡಿ ಮೆಟ್ರೋ ನಿಲ್ದಾಣ	Marathahalli	ಮಾರತ್ತಹಳ್ಳಿ	ITPL, Kundalahalli Gate	ಐ.ಟಿ.ಪಿ.ಎಲ್., ಕುಂದಲಹಳ್ಳಿ ಗೇಟ್	29, 38, 57, 42, 23, 16, 65	7	0530, 0600, 0705, 0720, 0735, 0820, 0910, 0925, 0940, 1020, 1035, 1055, 1105, 1155, 1220, 1235, 1305, 1420, 1440, 1500, 1530, 1540, 1545, 1615, 1645, 1655, 1710, 1740, 1815, 820, 1850, 1920, 2030, 2100	0615, 0645, 0720, 0805, 0820, 0835, 0850, 0905, 0925, 0935, 1040, 1055, 1110, 1120, 1135, 1155, 1205, 1320, 1335, 1405, 1440, 1445, 1515, 1540, 1550, 1605, 1635, 1645, 1715, 1745, 1815, 1920, 1925, 1955, 2150, 2220
8	MF4	Kadugodi Metro Station	ಕಾಡುಗೋಡಿ ಮೆಟ್ರೋ ನಿಲ್ದಾಣ	Marathahalli	ಮಾರತ್ತಹಳ್ಳಿ	Varthuru Kodi, Siddapura	ವರ್ತೂರು ಕೋಡಿ, ಸಿದ್ದಾಪುರ	16, 65	4	0545, 0615, 0720, 0750, 0920, 0950, 1045, 1115, 1235, 1305, 1450, 1500, 1520, 1530, 1640, 1650, 1710, 1720, 1910, 1940, 2055,  2120	0630, 0700, 0820, 0850, 0920, 0950, 1045, 1115, 1140, 1210, 1330, 1400, 1545, 1555, 1615, 1625, 1740, 1810, 1815, 1845, 2005, 2035, 2205
9	MF3A	Kadugodi Metro Station	ಕಾಡುಗೋಡಿ ಮೆಟ್ರೋ ನಿಲ್ದಾಣ	Kadugodi Metro Station	ಕಾಡುಗೋಡಿ ಮೆಟ್ರೋ ನಿಲ್ದಾಣ	Hope farm, ITPL, Whitefiled TTMC, Graphite India, Kundalahalli gate, Varthur kodi, whitefield post office	ಹೋಪ್ ಫಾರ್ಮ್, ಐ.ಟಿ.ಪಿ.ಎಲ್., ವೈಟ್‌ಫೀಲ್ಡ್ ಟಿ.ಟಿ.ಎಂ.ಸಿ., ಗ್ರಾಫೈಟ್ ಇಂಡಿಯಾ, ಕುಂದಲಹಳ್ಳಿ ಗೇಟ್, ವರ್ತೂರು ಕೋಡಿ, ವೈಟ್‌ಫೀಲ್ಡ್ ಅಂಚೆ ಕಚೇರಿ	29, 38, 57, 42, 23, 16, 65	2	0545, 0645, 0800, 0830, 0925, 1020, 1145, 1310, 1505, 1530, 1625, 1815, 1940, 2130	
10	MF4A	Kadugodi Metro Station	ಕಾಡುಗೋಡಿ ಮೆಟ್ರೋ ನಿಲ್ದಾಣ	Kadugodi Metro Station	ಕಾಡುಗೋಡಿ ಮೆಟ್ರೋ ನಿಲ್ದಾಣ	Hope farm, whitefield post office, Varthur kodi, Kundalahalli gate, Graphite India, Whitefiled TTMC. ITPL	ಹೋಪ್ ಫಾರ್ಮ್, ವೈಟ್‌ಫೀಲ್ಡ್ ಅಂಚೆ ಕಚೇರಿ, ವರ್ತೂರು ಕೋಡಿ, ಕುಂದಲಹಳ್ಳಿ ಗೇಟ್, ಗ್ರಾಫೈಟ್ ಇಂಡಿಯಾ, ವೈಟ್‌ಫೀಲ್ಡ್ ಟಿ.ಟಿ.ಎಂ.ಸಿ., ಐ.ಟಿ.ಪಿ.ಎಲ್.	29, 38, 57, 42, 23, 16, 65	2	0600, 0700, 0815, 0845, 0940, 1035, 1130, 1200, 1325, 1520, 1545, 1640, 1830, 1955, 2145	
